rank,sketch_page,line_page,model_index,region_index,score,edge_f1,edge_precision,edge_recall,chamfer,inlier_count,match_count,coverage,orientation_entropy,area_ratio,scale,angle,bbox,bbox_full,full_matrix,decision,notes
120,page0062,page0062,1,1,4.483039425218281,0.7915838025407143,0.6726032588101554,0.9617052023121387,2.6289036754533712,6,79,0.125,0.7873649121484327,0.127208480565371,0.9116729708434115,-1.4883715712867667,"(120, 200, 360, 440)","(1052, 1754, 3157, 3859)","[[0.9113653879848161, 0.0236798511341895, -258.6706669067897], [-0.0236798511341895, 0.9113653879848161, -153.643024610966]]",,
121,page0012,page0012,2,2,4.481808552638635,0.7525981455438229,0.6626093571700267,0.8708708708708709,3.041866738129632,11,170,0.25,0.8175029682136088,0.127208480565371,1.0616846175425032,1.5389999661463634,"(280, 280, 520, 520)","(2456, 2456, 4560, 4560)","[[1.0613016417061598, -0.02851407438759392, 64.66458403131409], [0.02851407438759392, 1.0613016417061598, -629.5387790528929]]",,
122,page0027,page0027,1,4,4.4741643134966305,0.7978115821586178,0.7592681176751973,0.8404775604142692,2.9953054623955593,7,123,0.125,0.8089181377263419,0.2862190812720848,0.8759119420340279,0.16241970630291017,"(180, 300, 540, 660)","(1579, 2631, 4736, 5788)","[[0.8759084226850149, -0.0024829956245317, -172.30843712361718], [0.0024829956245317, 0.8759084226850149, -208.03754216670305]]",,
123,page0042,page0042,1,14,4.453644122691713,0.7412444783973581,0.6283881647010139,0.903512084592145,3.3952944157570277,12,126,0.3125,0.8124208637011802,0.2862190812720848,1.0849540851996915,0.929986537557253,"(60, 180, 420, 540)","(526, 1579, 3683, 4736)","[[1.0848111695171831, -0.017609471379366963, 95.87305755089334], [0.017609471379366963, 1.0848111695171831, 14.235417829512443]]",,
124,page0007,page0007,1,1,4.452228042797991,0.7689730720566162,0.6614496723075418,0.918239505369346,3.293405157485216,7,104,0.25,0.8018884112629657,0.2862190812720848,0.9050506149695733,-0.01264784326683318,"(60, 300, 420, 660)","(526, 2631, 3683, 5788)","[[0.9050505929184582, 0.00019978676145083465, -14.26036629765455], [-0.00019978676145083465, 0.9050505929184582, -40.66425079729626]]",,
125,page0002,page0002,1,6,4.448344753838571,0.7825839119989194,0.6579415690345544,0.9654889071487264,3.0273638414707533,5,123,0.1875,0.8057960322884468,0.2862190812720848,0.8934876243554671,0.25384099250481773,"(0, 420, 360, 780)","(0, 3683, 3157, 6841)","[[0.8934788556378409, -0.0039584598609320575, -39.05035628920133], [0.0039584598609320575, 0.8934788556378409, -84.51888853605003]]",,
126,page0002,page0002,1,8,4.428296973669994,0.7886103377337154,0.6885583372069859,0.9226820324777371,2.923553421156756,6,123,0.125,0.8111834391826634,0.2862190812720848,0.8934876243554671,0.25384099250481773,"(0, 0, 360, 360)","(0, 0, 3157, 3157)","[[0.8934788556378409, -0.0039584598609320575, -39.05035628920133], [0.0039584598609320575, 0.8934788556378409, -84.51888853605003]]",,
127,page0040,page0040,1,6,4.425909150429862,0.7361360298844367,0.6356107660455487,0.8744321868916288,3.1576919620489288,8,138,0.3125,0.8054380551713974,0.127208480565371,0.8515231890678843,-1.2070168553220237,"(200, 280, 440, 520)","(1754, 2456, 3859, 4560)","[[0.8513342456239907, 0.017937216845720652, 313.2844576642019], [-0.017937216845720652, 0.8513342456239907, 695.8199299498654]]",,
128,page0042,page0042,1,2,4.410006829147058,0.76457534554881,0.6535573122529644,0.921027890943278,3.3887791316721407,6,126,0.25,0.8204708873134985,0.127208480565371,1.0849540851996915,0.929986537557253,"(280, 520, 520, 760)","(2456, 4560, 4560, 6665)","[[1.0848111695171831, -0.017609471379366963, 95.87305755089334], [0.017609471379366963, 1.0848111695171831, 14.235417829512443]]",,
129,page0060,page0060,1,13,4.379178249468123,0.772694523898603,0.6997256515775034,0.8626538987688098,2.8357995347116596,7,129,0.125,0.8072906898948244,0.2862190812720848,0.913470172697163,0.09779055014666496,"(0, 300, 360, 660)","(0, 2631, 3157, 5788)","[[0.9134688422035814, -0.001559080059995069, -173.8356886294823], [0.001559080059995069, 0.9134688422035814, -285.59215853352595]]",,
130,page0049,page0049,1,1,4.355755235393404,0.7443592168580395,0.6293421793828629,0.9108181063122923,3.6316367256575988,7,101,0.3125,0.8025043890414318,0.2862190812720848,0.8776124458270798,0.08684558862948351,"(60, 300, 420, 660)","(526, 2631, 3683, 5788)","[[0.8776114376821829, -0.0013302330627109516, -2.2917058362265297], [0.0013302330627109516, 0.8776114376821829, -13.73162365126855]]",,
131,page0040,page0040,2,2,4.35404238358178,0.7555006926035726,0.6457442673921493,0.9102076630593741,3.087427268744705,9,138,0.1875,0.7955802039419673,0.127208480565371,0.8668395422097733,-0.09630055166528328,"(326, 120, 566, 360)","(2859, 1052, 4964, 3157)","[[0.8668383178165946, 0.0014569500149268868, 409.107073120082], [-0.0014569500149268868, 0.8668383178165946, 365.8825624386838]]",,
132,page0049,page0049,1,2,4.32657418915674,0.768902189017335,0.6619630757754709,0.9170502399373225,3.2746004646694082,5,101,0.1875,0.8009027508707255,0.2862190812720848,0.8776124458270798,0.08684558862948351,"(0, 180, 360, 540)","(0, 1579, 3157, 4736)","[[0.8776114376821829, -0.0013302330627109516, -2.2917058362265297], [0.0013302330627109516, 0.8776114376821829, -13.73162365126855]]",,
133,page0020,page0020,1,12,4.300580582480667,0.6963850757145593,0.5459774464542496,0.9611717802045415,4.110679343581328,18,126,0.4375,0.7890104939052041,0.2862190812720848,1.0720318569704652,-0.27484929933865226,"(180, 300, 540, 660)","(1579, 2631, 4736, 5788)","[[1.0720195224898639, 0.00514254413185506, -204.50273902543603], [-0.00514254413185506, 1.0720195224898639, -239.6250182845301]]",,
