rank,name,sketch_page,line_page,region_rank,region_score,tile_score,edge_f1,edge_precision,edge_recall,chamfer,orientation_entropy,rough_std,line_ink,support,rough_edges,line_edges,tile_bbox,decision,notes
215,ako5r_0027_0027_1440_3979.jpg,page0027,page0027,10,5.6979429613541415,3.317316558390042,0.6438889790770672,0.5636239613047253,0.7508110936682365,6.5444183349609375,0.6900798572422154,34.98021556125644,0.06552517361111111,1.0,16126,9555,"(1440, 3979, 1920, 4459)",,
216,ako5r_0034_0034_1726_0526.jpg,page0034,page0034,33,5.2901031734822475,3.317216702881539,0.6417097498118733,0.5543833737736048,0.7616912235746316,6.361825466156006,0.7343969637887946,35.92380395447032,0.037469618055555556,1.0,9479,4683,"(1726, 526, 2206, 1006)",,
217,ako5r_0051_0051_2492_4597.jpg,page0051,page0051,36,5.223523040491124,3.3122518587175187,0.6338692120890924,0.5882794891059354,0.6871186440677967,6.2691969871521,0.7665209245360098,22.891531799385714,0.02373263888888889,1.0,3993,2950,"(2492, 4597, 2972, 5077)",,
218,ako5r_0047_0047_0591_6000.jpg,page0047,page0047,138,4.076474612385962,3.309548873790516,0.6689590855710348,0.6814940577249575,0.6568769057936126,5.586136817932129,0.5881370220798414,32.75478902871859,0.07473524305555555,1.0,5890,6231,"(591, 6000, 1071, 6480)",,
219,ako5r_0018_0018_1006_3979.jpg,page0018,page0018,2,6.132773043206202,3.302242107103377,0.6299866255655281,0.5354609929078015,0.7650401724475798,6.837303638458252,0.7747121337092335,38.521108845853696,0.05545572916666667,1.0,9870,5103,"(1006, 3979, 1486, 4459)",,
220,ako5r_0027_0027_0480_4219.jpg,page0027,page0027,10,5.6979429613541415,3.300973944436575,0.6198864155146911,0.5298701298701298,0.7467464472700075,6.23452091217041,0.7421932563675999,33.393666152539176,0.05600694444444444,1.0,11165,6685,"(480, 4219, 960, 4699)",,
221,ako5r_0014_0014_1440_1292.jpg,page0014,page0014,92,4.6971824095472625,3.3002108296846098,0.6238308627943464,0.5553576728999703,0.7115635604280867,5.748586654663086,0.7827456065167566,27.29833776335658,0.07737413194444444,1.0,6738,3831,"(1440, 1292, 1920, 1772)",,
222,ako5r_0016_0016_2686_0526.jpg,page0016,page0016,6,5.933503435514612,3.2966273684681626,0.6249722190938094,0.5366703627435451,0.7480544747081712,6.451333999633789,0.7150094469983522,22.369968442878243,0.04644965277777778,1.0,6313,3084,"(2686, 526, 3166, 1006)",,
223,ako5r_0026_0026_1440_2446.jpg,page0026,page0026,117,4.50374240392434,3.2966170511542705,0.6379908945333298,0.6089007906146391,0.67,5.827990531921387,0.7458741553540599,32.399236708968964,0.048802083333333336,1.0,7842,6200,"(1440, 2446, 1920, 2926)",,
224,ako5r_0036_0036_0831_1551.jpg,page0036,page0036,9,5.713012714112921,3.2948827327828103,0.6287031657926225,0.5431774809160306,0.7461948249619482,6.380919933319092,0.7132487292082228,25.941657780457323,0.03229600694444444,1.0,4192,2628,"(831, 1551, 1311, 2031)",,
225,ako5r_0014_0014_0480_1772.jpg,page0014,page0014,92,4.6971824095472625,3.290508399740731,0.6410829012123602,0.5763721229679704,0.7221618685497012,6.14938497543335,0.7629919091668881,24.689626665815045,0.038563368055555554,1.0,6213,3682,"(480, 1772, 960, 2252)",,
226,ako5r_0037_0037_0720_4597.jpg,page0037,page0037,90,4.713517083216061,3.2895791368539156,0.6401157079792751,0.5536030513554012,0.7586754366069404,6.061441421508789,0.7428266484711115,33.15990445223229,0.06599392361111112,1.0,7341,4409,"(720, 4597, 1200, 5077)",,
227,ako5r_0013_0013_1292_1440.jpg,page0013,page0013,85,4.827287794292282,3.2890696426745425,0.6376485007402068,0.528746290801187,0.8030464045341835,6.1072893142700195,0.747739790854587,38.030450451442704,0.059236111111111114,1.0,10784,5646,"(1292, 1440, 1772, 1920)",,
228,ako5r_0011_0011_1579_2059.jpg,page0011,page0011,28,5.316043392000333,3.286497803905484,0.630507402146876,0.5282227307398932,0.7819173103134939,6.3621368408203125,0.7612270656688966,25.522485316606563,0.037821180555555556,1.0,5244,2201,"(1579, 2059, 2059, 2539)",,
229,ako5r_0012_0012_1772_2677.jpg,page0012,page0012,3,6.063478878338192,3.2856794780274567,0.6238190160316849,0.4971172325432415,0.83719829626124,6.307014465332031,0.6599841136692984,21.317742096294822,0.01888888888888889,1.0,4683,2113,"(1772, 2677, 2252, 3157)",,
230,ako5r_0057_0057_2767_4551.jpg,page0057,page0057,54,5.063860126627751,3.2852098543450836,0.6676336721185001,0.5620225536558748,0.8221204649524481,6.717954635620117,0.663816752353055,34.28336699798755,0.03717013888888889,1.0,5498,2839,"(2767, 4551, 3247, 5031)",,
231,ako5r_0011_0011_1579_2299.jpg,page0011,page0011,28,5.316043392000333,3.2843213864148773,0.6401560233270076,0.5132775554747181,0.850358422939068,6.400035381317139,0.707677296554022,24.936204354530748,0.03276041666666667,1.0,5498,2232,"(1579, 2299, 2059, 2779)",,
